iter	Passed	Remaining
805	1289	310
806	1291	308
807	1292	307
808	1293	305
809	1294	303
810	1296	302
811	1297	300
812	1299	298
813	1301	297
814	1303	295
815	1305	294
816	1306	292
817	1308	291
818	1309	289
819	1311	287
820	1313	286
821	1314	284
822	1316	283
823	1318	281
824	1319	279
825	1320	278
826	1322	276
827	1324	275
828	1325	273
829	1327	271
830	1328	270
831	1330	268
832	1331	267
833	1333	265
834	1334	263
835	1336	262
836	1337	260
837	1339	258
838	1340	257
839	1342	255
840	1343	254
841	1345	252
842	1346	250
843	1349	249
844	1350	247
845	1352	246
846	1353	244
847	1354	242
848	1355	241
849	1357	239
850	1359	238
851	1361	236
852	1362	234
853	1364	233
854	1366	231
855	1368	230
856	1370	228
857	1372	227
858	1373	225
859	1375	223
860	1376	222
861	1377	220
862	1379	218
863	1381	217
864	1382	215
865	1384	214
866	1385	212
867	1387	211
868	1389	209
869	1390	207
870	1392	206
871	1394	204
872	1396	203
873	1397	201
874	1399	199
875	1401	198
876	1402	196
877	1403	195
878	1405	193
879	1406	191
880	1407	190
881	1409	188
882	1411	186
883	1412	185
884	1414	183
885	1415	182
886	1417	180
887	1418	178
888	1419	177
889	1421	175
890	1422	174
891	1423	172
892	1425	170
893	1426	169
894	1428	167
895	1429	165
896	1431	164
897	1432	162
898	1434	161
899	1435	159
900	1437	157
901	1438	156
902	1439	154
903	1441	153
904	1442	151
905	1444	149
906	1445	148
907	1446	146
908	1447	144
909	1449	143
910	1450	141
911	1451	140
912	1453	138
913	1454	136
914	1455	135
915	1457	133
916	1458	132
917	1460	130
918	1461	128
919	1462	127
920	1464	125
921	1465	123
922	1467	122
923	1468	120
924	1469	119
925	1470	117
926	1471	115
927	1473	114
928	1474	112
929	1476	111
930	1477	109
931	1478	107
932	1480	106
933	1481	104
934	1482	103
935	1484	101
936	1485	99
937	1486	98
938	1487	96
939	1489	95
940	1490	93
941	1492	91
942	1493	90
943	1494	88
944	1495	87
945	1497	85
946	1498	83
947	1499	82
948	1501	80
949	1502	79
950	1503	77
951	1505	75
952	1506	74
953	1508	72
954	1509	71
955	1510	69
956	1512	67
957	1513	66
958	1514	64
959	1516	63
960	1517	61
961	1518	59
962	1519	58
963	1521	56
964	1522	55
965	1524	53
966	1525	52
967	1526	50
968	1527	48
969	1529	47
970	1530	45
971	1532	44
972	1533	42
973	1534	40
974	1536	39
975	1537	37
976	1539	36
977	1540	34
978	1541	33
979	1543	31
980	1544	29
981	1545	28
982	1547	26
983	1548	25
984	1549	23
985	1551	22
986	1552	20
987	1554	18
988	1555	17
989	1556	15
990	1558	14
991	1559	12
992	1561	11
993	1563	9
994	1564	7
995	1565	6
996	1566	4
997	1568	3
998	1569	1
999	1571	0
