iter	Passed	Remaining
638	2094	1183
639	2098	1180
640	2100	1176
641	2103	1173
642	2107	1169
643	2110	1166
644	2113	1162
645	2115	1159
646	2118	1155
647	2121	1152
648	2124	1149
649	2127	1145
650	2130	1142
651	2133	1138
652	2136	1135
653	2139	1131
654	2142	1128
655	2145	1125
656	2149	1121
657	2152	1118
658	2155	1115
659	2158	1111
660	2161	1108
661	2164	1105
662	2167	1101
663	2170	1098
664	2173	1094
665	2176	1091
666	2178	1087
667	2181	1084
668	2184	1080
669	2187	1077
670	2189	1073
671	2192	1070
672	2195	1066
673	2198	1063
674	2201	1059
675	2203	1056
676	2206	1052
677	2209	1049
678	2212	1046
679	2215	1042
680	2218	1039
681	2221	1035
682	2223	1032
683	2226	1028
684	2229	1025
685	2232	1021
686	2235	1018
687	2238	1015
688	2241	1011
689	2244	1008
690	2246	1004
691	2249	1001
692	2252	997
693	2255	994
694	2258	990
695	2260	987
696	2263	983
697	2266	980
698	2269	977
699	2272	973
700	2275	970
701	2279	967
702	2283	964
703	2286	961
704	2290	958
705	2293	955
706	2298	952
707	2301	949
708	2304	945
709	2307	942
710	2309	938
711	2313	935
712	2315	932
713	2318	928
714	2321	925
715	2324	922
716	2327	918
717	2331	915
718	2334	912
719	2337	908
720	2340	905
721	2343	902
722	2346	898
723	2349	895
724	2352	892
725	2355	888
726	2357	885
727	2360	882
728	2364	878
729	2367	875
730	2370	872
731	2373	868
732	2376	865
733	2379	862
734	2382	858
735	2385	855
736	2388	852
737	2391	848
738	2394	845
739	2397	842
740	2400	839
741	2403	835
742	2406	832
743	2409	829
744	2413	825
745	2416	822
746	2419	819
747	2422	815
748	2425	812
749	2428	809
750	2431	806
751	2434	802
752	2436	799
753	2439	795
754	2441	792
755	2445	789
756	2448	785
757	2450	782
758	2453	779
759	2456	775
760	2460	772
761	2463	769
762	2466	766
763	2469	762
764	2472	759
765	2475	756
766	2479	753
767	2482	749
768	2485	746
769	2488	743
770	2491	739
771	2494	736
772	2498	733
773	2501	730
774	2504	726
775	2506	723
776	2510	720
777	2512	716
778	2515	713
779	2518	710
780	2521	706
781	2524	703
782	2526	700
783	2529	696
784	2532	693
785	2535	690
786	2538	686
787	2540	683
788	2543	680
789	2546	677
790	2549	673
791	2552	670
792	2555	666
793	2558	663
794	2561	660
795	2563	657
796	2566	653
797	2569	650
798	2572	647
799	2575	643
800	2577	640
801	2580	637
802	2583	633
803	2586	630
804	2589	627
805	2592	623
806	2594	620
807	2597	617
808	2600	613
809	2603	610
810	2606	607
811	2609	604
812	2611	600
813	2614	597
814	2617	594
815	2620	590
816	2622	587
817	2625	584
818	2628	580
819	2631	577
820	2634	574
821	2637	571
822	2640	567
823	2642	564
824	2645	561
825	2648	557
826	2651	554
827	2654	551
828	2657	548
829	2660	544
830	2662	541
831	2665	538
832	2668	534
833	2671	531
834	2673	528
835	2676	525
836	2679	521
837	2682	518
838	2685	515
839	2688	512
840	2691	508
841	2694	505
842	2697	502
843	2700	499
844	2703	495
845	2706	492
846	2708	489
847	2711	486
848	2714	482
849	2717	479
850	2721	476
851	2724	473
852	2727	470
853	2730	466
854	2733	463
855	2735	460
856	2738	456
857	2741	453
858	2744	450
859	2747	447
860	2750	444
861	2753	440
862	2756	437
863	2758	434
864	2761	430
865	2764	427
866	2767	424
867	2770	421
868	2773	418
869	2775	414
870	2778	411
871	2781	408
872	2785	405
873	2787	401
874	2790	398
875	2794	395
876	2797	392
877	2800	389
878	2803	385
879	2806	382
880	2809	379
881	2812	376
882	2814	372
883	2817	369
884	2820	366
885	2823	363
886	2826	360
887	2828	356
888	2832	353
889	2835	350
890	2837	347
891	2840	343
892	2843	340
893	2846	337
894	2849	334
895	2852	331
896	2854	327
897	2858	324
898	2861	321
899	2863	318
900	2866	314
901	2869	311
902	2872	308
903	2874	305
904	2877	302
905	2880	298
906	2883	295
907	2886	292
908	2889	289
909	2892	286
910	2894	282
911	2897	279
912	2913	277
913	2958	278
914	2962	275
915	2968	272
916	2981	269
917	2984	266
918	2987	263
919	2990	260
920	2993	256
921	2997	253
922	3000	250
923	3002	246
924	3005	243
925	3007	240
926	3010	237
927	3013	233
928	3015	230
929	3018	227
930	3021	223
931	3024	220
932	3026	217
933	3030	214
934	3032	210
935	3035	207
936	3037	204
937	3040	200
938	3042	197
939	3045	194
940	3048	191
941	3051	187
942	3054	184
943	3056	181
944	3059	178
945	3062	174
946	3065	171
947	3068	168
948	3070	165
949	3073	161
950	3076	158
951	3078	155
952	3081	151
953	3084	148
954	3086	145
955	3089	142
956	3092	138
957	3095	135
958	3098	132
959	3101	129
960	3104	125
961	3107	122
962	3110	119
963	3112	116
964	3115	113
965	3119	109
966	3121	106
967	3124	103
968	3127	100
969	3130	96
970	3132	93
971	3135	90
972	3137	87
973	3140	83
974	3143	80
975	3146	77
976	3149	74
977	3152	70
978	3155	67
979	3158	64
980	3160	61
981	3163	57
982	3166	54
983	3169	51
984	3172	48
985	3175	45
986	3178	41
987	3181	38
988	3184	35
989	3186	32
990	3189	28
991	3192	25
992	3194	22
993	3198	19
994	3200	16
995	3204	12
996	3206	9
997	3209	6
998	3212	3
999	3215	0
